Laker Ice 6x473ml|Beer|319.00|4790.39|310
old milwaukee 6PK|Beer|276.00|4142.75|155
Match 20|TOBACCO|340.00|3742.95|289
GROCERY NO TAX|GROCERY NO TAX|517.00|3617.10|418
PALL MALL  SMOOTH  KS 20|GROCERY NO TAX|220.00|3139.19|207
Next ORIGINAL KS 20|TOBACCO|217.00|3089.50|211
GROCERY TAX|ALL|689.00|3084.76|498
Belmont  20 ks|TOBACCO|166.00|3018.50|164
Budwieser 6pk 473ml|Beer|156.00|2957.10|140
molson 6 pack|Beer|130.00|2542.85|125
Next original KS 25|TOBACCO|144.00|2518.92|131
Belmont Select 25 K Carton|TOBACCO|14.00|2422.00|14
CASH BACK|Cashback|27.00|2406.00|27
match king size|TOBACCO|171.00|2351.29|109
maximum ice  473 ml|Beer|672.00|2350.82|317
match chic  king size|TOBACCO|167.00|2296.52|74
Match Chic 20|TOBACCO|173.00|1904.61|157
Next Xtra Tobacco|TOBACCO|54.00|1891.62|41
PALLMALL SMOOTH KS25|GROCERY NO TAX|107.00|1870.02|99
ALCOHOL|ALCOHOL|320.00|1795.81|130
Belmont  KS 25|TOBACCO|80.00|1788.98|73
laker ice black 473 ml|DRINKS|603.00|1759.94|323
Mikes Hard Lemonade 473|Beer|422.00|1696.98|224
PHOTO|GENERAL ITEMS|99.00|1677.04|76
Next Extra KS 25 carton|TOBACCO|12.00|1645.00|12
TOBACCO ACCESSORIES|TOBACCO Accessories|34.00|1622.01|30
Benson and Hedges Carton|TOBACCO|9.00|1605.06|5
Old Milwaukee 6 pack|Beer|103.00|1546.03|100
Du Maurier Distinct 25 Ks|TOBACCO|63.00|1386.00|55
Heineken 6pk|Beer|59.00|1373.40|55
Next original RG 25|TOBACCO|77.00|1337.00|74
PALL MALL  SMOOTH  RG 20|GROCERY NO TAX|88.00|1257.40|86
Molson Cold shot|Beer|193.00|1228.66|135
Stella Artois 6 x 473ml|ALCOHOL|48.00|1125.52|47
coors   473 ml|DRINKS|321.00|1117.79|121
DRUM ORIGINAL VAPE & CIGARATTE TOBACCO 50G|TOBACCO|24.00|1041.03|20
Arizona Hard 473|Beer|238.00|942.12|114
Heineken Bottle 330ml|Beer|269.00|934.83|58
Corona Extra 6 x 330 ml|ALCOHOL|46.00|883.20|45
Laker red|DRINKS|297.00|867.03|89
Bud light 6 Pack|Beer|45.00|866.61|32
EXPORT A FINE RG 25|TOBACCO|39.00|838.64|17
Pabst Blue Ribbon 6 pk|Beer|49.00|825.77|37
molson dry 710 ml|Beer|198.00|807.11|137
Vogue|TOBACCO|38.00|797.84|13
MISCELLANEOUS|GENERAL ITEMS|135.00|793.32|107
Corona Extra|Beer|33.00|779.34|29
RED BULL 250 original|DRINKS|194.00|773.58|168
Labatt Blue 6 pack|Beer|44.00|719.87|44
KEY CUT|OTHER|151.00|706.25|93
Next Original KS 25 carton|TOBACCO|5.00|675.00|5
Du Maurier Signature 25 k|TOBACCO|30.00|660.00|30
Lowenbrau 6tc|Beer|39.00|655.86|37
MARLBORO SMOOTH|TOBACCO|42.00|650.65|41
Matinee Subtle KS 20|TOBACCO|29.00|608.70|17
Belmont select KS|TOBACCO|27.00|606.96|16
Next Xtra KS 25|TOBACCO|35.00|602.00|35
White Claw Blackberry 473ML|R.T.D.|148.00|590.38|77
Next Original KS 20 carton|TOBACCO|5.00|578.99|5
belmont select 20k|TOBACCO|30.00|544.00|27
